dados,euro
18.07.2019,4.1928
17.07.2019,4.2236
16.07.2019,4.2236
15.07.2019,4.2276
12.07.2019,4.2099
11.07.2019,4.224
10.07.2019,4.2232
09.07.2019,4.2583
08.07.2019,4.2676
05.07.2019,4.2889
04.07.2019,4.2888
03.07.2019,4.3144
02.07.2019,4.3408
01.07.2019,4.3336
28.06.2019,4.376
27.06.2019,4.3415
26.06.2019,4.3691
25.06.2019,4.3723
24.06.2019,4.3595
21.06.2019,4.3399
20.06.2019,4.3342
19.06.2019,4.3084
18.06.2019,4.3198
17.06.2019,4.3613
14.06.2019,4.3664
13.06.2019,4.3392
12.06.2019,4.3634
11.06.2019,4.3695
10.06.2019,4.3967
07.06.2019,4.3935
06.06.2019,4.3737
05.06.2019,4.3539
04.06.2019,4.3364
03.06.2019,4.3669
31.05.2019,4.385
30.05.2019,4.4315
29.05.2019,4.4229
28.05.2019,4.4911
27.05.2019,4.5243
24.05.2019,4.5047
23.05.2019,4.516
22.05.2019,4.5054
21.05.2019,4.5064
20.05.2019,4.5747
17.05.2019,4.574
16.05.2019,4.521
15.05.2019,4.4813
14.05.2019,4.4565
13.05.2019,4.4808
10.05.2019,4.4444
09.05.2019,4.4254
08.05.2019,4.3957
07.05.2019,4.4424
06.05.2019,4.444
03.05.2019,4.4103
02.05.2019,4.4316
